fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(-inf, 13.91]",28060,0.9993734788314657,0.21740173122404327,2975.601643010958,3790.674311961258,3000.0,0.9999287241625089,400.0,35078.0,3755.856796124204,3825.491827798312,3790.674311961258
"(13.91, 62.652]",3118,0.9941371966551924,38.654827660345894,3725.3690895699856,4259.031208130089,3000.0,0.99903784477229,500.0,40000.0,4128.2190787484915,4389.8433375116865,4259.031208130089
"(62.652, 108.863]",3118,0.9888179445515339,85.7934136549565,4302.207107147292,4662.364039069793,3300.0,0.9987171263630532,500.0,40000.0,4511.296893990876,4813.43118414871,4662.364039069793
"(108.863, 151.168]",3118,0.979539230677245,130.29192994436772,4999.221865052268,5231.453996145891,3763.0,0.9987171263630532,500.0,40000.0,5055.911964820878,5406.996027470905,5231.453996145891
"(151.168, 186.984]",3117,0.965336794658084,169.6744026448298,5823.543935894689,6019.136678430913,4356.0,0.9964709656721207,500.0,40000.0,5814.616683518568,6223.656673343258,6019.136678430913
"(421.47, 430.349]",3117,0.446219683351728,425.90671592345416,5245.079403438392,6039.132500872194,4716.0,0.43631697144690407,400.0,40000.0,5854.927895443857,6223.337106300532,6462.427565884118
"(412.144, 421.47]",3118,0.4774201929261294,416.8457003250449,5213.757982359501,6039.339966404749,4670.0,0.5006414368184734,500.0,40000.0,5856.264741546566,6222.415191262932,6462.427565884118
"(392.387, 402.528]",3118,0.5443011236349712,397.50235921000046,5096.89537154934,6077.275291526954,4860.0,0.5772931366260423,500.0,38400.0,5898.303565301422,6256.247017752486,6462.427565884118
"(439.503, 448.302]",3118,0.38585135678096266,443.861167955161,5351.954634194636,6120.913366288321,4740.0,0.37395766516998075,500.0,38400.0,5932.9855220345,6308.841210542143,6462.427565884118
"(935.879, inf]",3118,0.00044885208972434315,966.9731471189601,3488.462602259762,6161.7204265282935,5733.0,0.0,450.0,25574.0,6039.22700096483,6284.213852091757,7657.312079731054
"(430.349, 439.503]",3118,0.4156190409928015,434.9144840681859,5544.16280943892,6202.169707824504,4667.5,0.40891597177677996,400.0,40000.0,6007.492690513266,6396.846725135742,6462.427565884118
"(402.528, 412.144]",3118,0.5104028110797508,407.3206936886321,5256.181307847507,6244.096794933553,4971.0,0.5282232200128287,500.0,38400.0,6059.531922899719,6428.661666967387,6462.427565884118
"(448.302, 457.314]",3118,0.35686293715047634,452.8250179520785,5846.548957968319,6260.241714923942,4574.0,0.3268120590121873,500.0,40000.0,6054.9467494219125,6465.536680425971,6462.427565884118
"(382.227, 392.387]",3117,0.5790039764760119,387.32610614030426,5130.267526452809,6280.907774048882,5000.0,0.6384343920436317,400.0,40000.0,6100.735305195017,6461.080242902747,6462.427565884118
"(465.939, 474.659]",3118,0.303473537298211,470.2716350828461,5519.78315288478,6297.206268804376,5000.0,0.2783835792174471,500.0,40000.0,6103.385315606723,6491.027222002029,6462.427565884118
"(457.314, 465.939]",3117,0.32944979597337115,461.6026956917261,5793.7717992341295,6316.375341532148,4896.0,0.3067051652229708,500.0,40000.0,6112.900929396437,6519.849753667859,6462.427565884118
"(360.109, 371.155]",3118,0.6497342417906826,365.73278268662574,5106.374106944981,6326.767726913943,5058.0,0.7084669660038486,500.0,38400.0,6147.463165597139,6506.072288230747,6462.427565884118
"(371.155, 382.227]",3118,0.6144329861817975,376.6944018446865,5341.134223482213,6348.885402824486,5000.0,0.6616420782552919,400.0,40000.0,6161.33750507584,6536.433300573131,6462.427565884118
"(908.186, 935.879]",3118,0.000849742913929143,920.7265883778213,3807.7130933622193,6362.907848451725,5978.0,0.0,500.0,40000.0,6229.204302349022,6496.6113945544275,7657.312079731054
"(864.678, 876.233]",3117,0.0016991608154940123,870.3272597713366,3811.3262372903423,6478.138712765235,6120.0,0.0,500.0,32054.0,6344.28681240344,6611.99061312703,7657.312079731054
"(889.781, 908.186]",3118,0.001151530400065182,898.5460135939999,3668.8067639241417,6488.165044469192,6182.0,0.0,400.0,33000.0,6359.339037289881,6616.991051648503,7657.312079731054
"(846.579, 854.953]",3118,0.0022292270025775617,850.6667654294553,4032.7929857451245,6552.34480162393,5994.5,0.0,500.0,36864.0,6410.737829230925,6693.951774016935,7657.312079731054
"(876.233, 889.781]",3118,0.0014309921110275132,882.7637407921184,4031.8254696327226,6575.108991819871,6072.0,0.0,400.0,38400.0,6433.535992662761,6716.681990976982,7657.312079731054
"(854.953, 864.678]",3118,0.001969188372477423,859.6443766429078,4103.548869325038,6578.8949350868525,6000.0,0.00032071840923669016,400.0,40000.0,6434.8034497302115,6722.986420443493,7657.312079731054
"(336.297, 348.44]",3118,0.7193638829583808,342.38557742694616,5326.971198163189,6598.4703628286015,5400.0,0.7905708787684413,400.0,40000.0,6411.419783723001,6785.520941934202,6462.427565884118
"(186.984, 216.139]",3118,0.9469243134935228,202.04150977372962,5848.967314944327,6617.580616040154,5205.0,0.9906991661321359,400.0,40000.0,6412.200732663404,6822.960499416905,6462.427565884118
"(348.44, 360.109]",3118,0.6848573417160498,354.3059473916213,5510.639327971835,6624.015291295198,5400.0,0.758819756254009,400.0,40000.0,6430.515413185354,6817.515169405042,6462.427565884118
"(309.685, 323.341]",3118,0.7857629960916593,316.51665266099116,5197.081138301269,6641.430661109293,5523.0,0.8662604233483002,500.0,40000.0,6458.941024800908,6823.920297417679,6462.427565884118
